Horizon started successfully.
Horizon started successfully.
[2022-01-04 16:42:00][9023f5a7-c11d-4bd9-848e-16d00d2cab91] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:42:02][d64efc3e-0289-44b1-adcf-56f94baed202] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:42:02][4c03fc1e-909c-453c-9bc8-cac05e80c338] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:42:03][7ee0899c-5612-4426-b43f-5ee0b3fd0c58] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:42:02][9023f5a7-c11d-4bd9-848e-16d00d2cab91] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:42:02][c481d446-4fa7-4653-a278-3e614785dddb] Processing: App\Mail\Admin\MonthStore
[2022-01-04 16:42:04][4c03fc1e-909c-453c-9bc8-cac05e80c338] Processed:  App\Mail\Admin\MonthStore
[2022-01-04 16:42:04][c481d446-4fa7-4653-a278-3e614785dddb] Processed:  App\Mail\Admin\MonthStore
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2022-01-23 16:57:28][ea6566e9-2684-43d7-b8b8-66b5fcdfaf96] Processing: App\Mail\Store\PickupDelivery
[2022-01-23 16:57:31][ea6566e9-2684-43d7-b8b8-66b5fcdfaf96] Processed:  App\Mail\Store\PickupDelivery
[2022-01-23 17:03:19][efd0e881-23fb-42f0-aeba-441358f85f1d] Processing: App\Mail\Store\PickupDelivery
[2022-01-23 17:03:22][efd0e881-23fb-42f0-aeba-441358f85f1d] Processed:  App\Mail\Store\PickupDelivery
[2022-01-23 17:05:25][758e1271-f6cc-4d91-8ac7-24f280726f28] Processing: App\Mail\Store\PickupDelivery
[2022-01-23 17:05:27][758e1271-f6cc-4d91-8ac7-24f280726f28] Processed:  App\Mail\Store\PickupDelivery
[2022-01-23 17:07:51][23b878a1-edb6-43d7-ad14-253447f471d3] Processing: App\Mail\Store\PickupDelivery
[2022-01-23 17:07:54][23b878a1-edb6-43d7-ad14-253447f471d3] Processed:  App\Mail\Store\PickupDelivery
Horizon started successfully.
[2022-01-26 15:54:32][eedce648-7928-4e75-a11d-fbbceeb05f26] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 15:54:32][eedce648-7928-4e75-a11d-fbbceeb05f26] Failed:     App\Mail\Admin\OrderCancel
[2022-01-26 15:56:18][96a2e2f2-18f6-4cc6-982a-861ed414aab6] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 15:56:18][96a2e2f2-18f6-4cc6-982a-861ed414aab6] Failed:     App\Mail\Admin\OrderCancel
[2022-01-26 15:56:54][7097814f-e867-43cd-9ac3-4cc6a264d50c] Processing: App\Mail\Admin\OrderCancel
[2022-01-26 15:56:54][7097814f-e867-43cd-9ac3-4cc6a264d50c] Failed:     App\Mail\Admin\OrderCancel
